L.,CIDADE,SIGLA,ENDEREÇO,UF,FONE,CEP,COD OBRA,CNPJ,INSCR. ESTAD,Ordens de Serviço,KM IDA E VOLTA,PEDÁGIO IDA E VOLTA
0,Salto,000 - SALTO - Salto,"Rua: 9 de Julho, 400 - Centro","SP ",(011) 4029-4624,13.320-000,1513,56.642.960/0002-90,600.003.895.113,"SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), Modelo Geral (https://www.notion.so/2d068adf5b8e80deba95f335fe849c8c?pvs=21)",210,"R$ 45,00"
1,Indaiatuba,001 - INDAIA - Indaiatuba,"Rua: Candelária, 677 - Centro","SP ",(019) 3834-4411,13.330-180,88530,56.642.960/0003-71,353.002.126.119,,,
2,Itu,002 - ITU - Itu,"Rua: Floriano Peixoto, 640 - Centro","SP ",(011) 4023-1342,13.300-005,20690,56.642.960/0004-52,387.011.146.110,ITU CT (https://www.notion.so/ebf7ee97db074d9ba0be7828f2fdb765?pvs=21),220,"R$ 45,00"
3,São Roque,003 - SROQUE - São Roque,"Av.: Tiradentes, 399 - Centro","SP ",(011) 4712-2459,18.130-470,20695,56.642.960/0005-33,653.011.011.110,SÃO ROQUE (https://www.notion.so/28d9eebc527e45ec9411d46f3ef25f16?pvs=21),320,"R$ 60,20"
4,Itapetininga,004 - ITAPET - Itapetininga,"Rua: Campos Salles, 700 - Centro","SP ",(015) 3272-4362,18.200-005,120333,56.642.960/0007-03,371.025.300.118,,,
5,Sorocaba,005 - SOROC - Sorocaba,"Rua Padre Luiz ,345 - Centro","SP ",(015) 3231-7362,18.035-011,88535,56.642.960/0008-86,669.094.835.110,,,
6,Americana,006 - AMERIC - Americana,"Rua: 12 de Novembro, 295 - Centro","SP ",(019) 3461-3122,13.465-490,94011,56.642.960/0009-67,165.055.770.112,,,
7,Rio Claro,007 - RIOCLA - Rio Claro,"Av.: 5, 408 - Centro","SP ",(019) 3524-2399,13.500-380,88540,56.642.960/0010-09,587.048.672.119,,,
8,Piracicaba,008 - PIRACI - Piracicaba,"Rua: Governador Pedro de Toledo, 500","SP ",(019) 3422-6840,13.400-060,93993,56.642.960/0016-96,535.094.655.114,,,
9,Salto,009 - MATRIZ - Salto,"Rod.:  Eng.° Ermênio de O. Penteado, s/ n.°, km 46 - Joana Leite","SP ",(011) 4028-9400,13.329-903,,56.642.960/0001-00,600.003.886.112,,,
10,Sta. Bárb. D'Oeste,010 - STABAR - Sta. Bárb. D'Oeste,"Rua: General Osório, 518 - Centro","SP ",(019) 3455-1777,13.450-026,94777,56.642.960/0012-62,606.023.860.110,,,
11,Limeira,011 - LIMEIR - Limeira,"Rua: Alferes Franco, 338 - Centro","SP ",(019) 3441-0126,13.480-050,103267,56.642.960/0013-43,417.053.124.116,LIMEIRA CT (https://www.notion.so/ea55401502734d6e865f04abf7b92231?pvs=21),60,"R$ 16,40"
12,Osasco,012 - OSASCO - Osasco,"Rua: Antônio Agú, 749 - Centro","SP ",(011) 3682-1640,06.013-000,88541,56.642.960/0014-24,492.129.133.110,,,
13,Araras,,"Rua: Cesário Coimbra, 15 – Centro","SP ",(019) 3541-4837,13.600-030,109768,56.642.960/0015-05,182.026.659.111,ARARAS (https://www.notion.so/b9486ef3705f4b14859dc3ee952de0ec?pvs=21),84,"R$ 8,80"
14,Leme,014 - LEME - Leme,"Praça Manoel Leme, 244 - Centro","SP ",(019) 3571-3813,13.610-139,103278,56.642.960/0017-77,415.018.492.111,,,
15,Mogi das Cruzes,015 - MGCRUZ - Mogi das Cruzes,"Rua: Dr. Ricardo Vilela, 181 - Centro","SP ",(011) 4726-1430,08.710-150,118569,56.642.960/0018-58,454.069.322.115,,,
16,Capivari,016 - CAPIV - Capivari,"Rua: XV de Novembro, 760 - Centro","SP ",(019) 3491-2897,13.360-000,88043,56.642.960/0019-39,253.010.730.116,,,
17,Avaré,017 - AVARE - Avaré,"Largo São João, 169 – Centro","SP ",(014) 3732-1575,18.700-210,109762,56.642.960/0020-72,194.022.991.111,,,
18,Araraquara,018 - ARARAQ - Araraquara,"Rua: 9 de Julho, 443 - Centro","SP ",(016)  3322-1333,14.801-295,94001,56.642.960/0021-53,181.052.949.110,,,
19,São Caetano Sul,019 - SCAET - São Caetano Sul,"Rua: Manoel Coelho, 382 - Centro","SP ",(011) 4221-7750,09.510-100,89300,56.642.960/0022-34,636.088.367.110,,,
20,Suzano,020 - SUZANO - Suzano,"Praça João Pessoa, 181 - Centro","SP ",(011) 4748-2482,08.674-040,20679,56.642.960/0024-04,672.039.292.110,,,
21,São Paulo,021 - SAMARO - São Paulo,"Alameda Santo Amaro, 370 Sto. Amaro","SP ",(011) 5541-8168,04.745-001,118542,56.642.960/0023-15,111.385.930.116,,,
22,Pirassununga,022 - PIRASU - Pirassununga,"Rua: José Bonifácio, 425 - Centro","SP ",(019) 3561-2910,13.630-010,88524,56.642.960/0025-87,536.019.930.116,,,
23,Jacareí,023 - JACAR - Jacareí,"Rua: Alfredo Schurig, 34 - Centro","SP ",(012) 3951-0212,12.327-005,94007,56.642.960/0026-68,392.045.338.118,,,
24,São José dos Campos,024 - SJCAMP - São José dos Campos,"Praça Afonso Pena, 131 - Centro","SP ",(012) 3922-5822,12.210-090,88532,56.642.960/0028-20,645.107.830.114,,,
25,Taubaté,025 - TAUBAT - Taubaté,"Rua: Marquês do Herval, 601 - Centro","SP ",(012) 3632-0308,12.080-250,87754,56.642.960/0027-49,688.073.087.110,,,
26,S. Bernardo Campo,026 - SBCAMP - S. Bernardo Campo,"Rua: Marechal Deodoro, 713 - Centro","SP ",(011) 4122-2710,09.710-011,121545,56.642.960/0029-00,635.174.000.117,,,
27,Santos,027 - SANTOS - Santos,"Rua: João Pessoa, 185 - Centro","SP ",(013) 3224-9100,11.013-001,135705,56.642.960/0030-44,633.245.940.119,,,
28,Guarulhos,028 - GUARUL - Guarulhos,"Rua: Capitão Gabriel, 148 - Centro","SP ",C,07.011-010,123562,56.642.960/0031-25,336.241.029.117,GUARULHOS (https://www.notion.so/113803739c464286a83a7f0c70fa242a?pvs=21),380,"R$ 87,40"
29,Caçapava,029 - CAÇAP - Caçapava,"Av.: Cel. M. Inocêncio, 457 - Centro","SP ",(012) 3653-1826,12.281-010,20685,56.642.960/0032-06,234.021.340.118,,,
30,Guaratinguetá,030 - GUARAT - Guaratinguetá,"Rua: Marechal Deodoro, 166 - Centro","SP ",(012) 3132-1274,12.500-210,88030,56.642.960/0034-78,332.043.890.110,,,
31,Pindamonhangaba,031 - PINDA - Pindamonhangaba,"Av.: Dr. Jorge Tibiriçá, 199 - Centro","SP ",(012) 3642-4100,12.400-460,87753,56.642.960/0033-97,528.031.829.119,,,
32,São José Rio Pardo,032 - SJRPAR - São José Rio Pardo,"Rua: Marechal Deodoro, 319 - Centro","SP ",(019) 3608-3765,13.720-000,123572,56.642.960/0035-59,646.022.829.116,,,
33,Pouso Alegre,033 - POUSOA - Pouso Alegre,"Praça Dr. Garcia Coutinho, 43 - Centro",MG,(035) 3422-1122,37.550-000,130527,56.642.960/0036-30,525.649.701.0060,,,
34,Bragança Plta.,034 - BRAGAN - Bragança Plta.,"Av.: José Gomes da Rocha Leal, 2100 – Centro","SP ",(011) 4034-0263,12.900-301,88056,56.642.960/0037-10,225.067.555.116,,,
35,Itajubá,035 - ITAJUB - Itajubá,"Rua: Dr. Pereira Cabral, 268 - Centro",MG,(035) 3622-0546,37.500-000,88547,56.642.960/0038-00,324.649.701.0171,ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21),561,"R$ 114,00"
36,Botucatu,036 - BOTUC - Botucatu,"Av.: Floriano Peixoto, 585 - Centro","SP ",(014) 3882-3589,18.600-240,87760,56.642.960/0039-82,224.044.997.110,,,
37,Varginha,037 - VARGIN - Varginha,"Rua: Wenceslau Braz, 129 - Centro",MG,(035) 3222-9222,37.002-080,88039,56.642.960/0040-16,707.649.701.0220,VARGINHA (https://www.notion.so/db1858c2e9b54d4f98d7c83f5af9fdc2?pvs=21),650,"R$ 101,40"
38,Votorantim,038 - VOTOR - Votorantim,"Av.: 31 de Março, 588 - Centro","SP ",(015) 3243-1258,18.110-005,20696,56.642.960/0041-05,717.025.220.116,,,
39,São Carlos,039 - SCARLO - São Carlos,"Av.: São Carlos, 1047 - Centro","SP ",(016) 3372-7213,13.560-010,87759,56.642.960/0042-88,637.091.830.110,,,
40,Lençóis Paulista,040 - LENCOP - Lençóis Paulista,"Rua: Dr. Antônio Tedesco, 280 - Centro","SP ",(014) 3263-1452,18.680-100,20680,56.642.960/0043-69,416.026.666.117,,,
41,Franca,041 - FRANCA - Franca,"Rua: Major Claudiano, 2140 - Centro","SP ",(016) 3724-2206,14.400-690,123567,56.642.960/0044-40,310.165.548.113,FRANCA (https://www.notion.so/9c0a68832f8c49af9800e9c8b9c55814?pvs=21),500,"R$ 123,50"
42,Mogi Guaçu,042 - MGGUAC - Mogi Guaçu,"Rua: Sgto. Aviador Osvaldo Fernandes, 147 – Centro","SP ",(019) 3861-0432,13.840-027,89221,56.642.960/0046-01,455.057.968.117,MOGI GUAÇU CT (https://www.notion.so/227a2bb9a5ee41ab938c82fb49a3d594?pvs=21),172,"R$ 39,00"
43,Atibaia,043 - ATIBAI - Atibaia,"Rua: Adolfo André, 185 - Centro","SP ",(011) 4411-0371,12.940-280,120652,56.642.960/0045-20,190.058.236.118,ATIBAIA CT (https://www.notion.so/25380b8e05f04cf88786500b21c92bee?pvs=21),300,"R$ 85,60"
44,Mogi Mirim,044 - MGMIRI - Mogi Mirim,"Rua: Conde de Parnaíba, 400 - Centro","SP ",(019) 3806-2986,13.800-140,89304,56.642.960/0047-92,456.044.976.117,,,
45,Itapeva,045 - ITAPVA - Itapeva,"Av.: Dona Paulina de Morais, 225 – Vila Ophélia","SP ",(015) 3522-2747,18.400-818,104268,56.642.960/0048-73,372.045.350.114,,,
46,Bebedouro,046 - BEBED - Bebedouro,"Rua: Cel. João Manoel, 523 - Centro","SP ",(017) 3342-3644,14.700-020,166509,56.642.960/0049-54,210.039.611.112,,,
47,Barretos,047 - BARRET - Barretos,"Rua: 20, 762 – Primavera","SP ",(017) 3322-1033,14.780-660,89225,56.642.960/0050-98,204.072.675.113,BARRETOS (https://www.notion.so/a06186e306324788a29e496415de1e57?pvs=21),500,"R$ 131,60"
48,Jaboticabal,048 - JABOT - Jaboticabal,"Rua: Rui Barbosa, 700 - Centro","SP ",(016) 3202-0438,14.870-300,133654,56.642.960/0051-79,391.035.835.118,JABOTICABAL (https://www.notion.so/694966c2202b4162843e4f8f374104c3?pvs=21),350,"R$ 72,60"
49,Cotia,049 - COTIA - Cotia,"Av.: N. Senhora de Fátima, 100 – Vila Monte Serrat","SP ",(011) 4616-9638,06.717-210,133610,56.642.960/0052-50,278.051.360.112,COTIA CT (https://www.notion.so/025b15fcf0a146f98388885c18c43b08?pvs=21),400,"R$ 93,40"
50,Capão Bonito,050 - CAPBON - Capão Bonito,"Rua: Floriano Peixoto, 905 - Centro","SP ",(015) 3542-2301,18.300-250,108905,56.642.960/0053-30,251.025.768.110,,,
51,Lorena,051 - LORENA - Lorena,"Rua: Barão de Bocaina, 95 - Centro","SP ",(012) 3153-2911,12.600-230,87748,56.642.960/0054-11,420.048.768.114,,,
52,Catanduva,052 - CATAND - Catanduva,"Rua: Pernambuco, 266 - Centro","SP ",(017) 3522-0755,15.800-080,87774,56.642.960/0055-00,260.064.470.114,CATANDUVA (https://www.notion.so/c66f67df67934ff4b8951e32aa1ca450?pvs=21),470,"R$ 96,70"
53,Sta. Cruz Rio Pardo,053 - SCRPAR - Sta. Cruz Rio Pardo,"Rua: Conselheiro Dantas, 610 - Centro","SP ",(014) 3372-4400,18.900-000,118541,56.642.960/0056-83,612.027.660.110,,,
54,Registro,054 - REGISTR - Registro,"Av.: Pref. Jonas B. Leite, 685 - Centro","SP ",(013) 3821-1149,11.900-000,87757,56.642.960/0058-45,574.026.842.110,REGISTRO (https://www.notion.so/60f4a08b04d0494d92fee20f6da2766e?pvs=21),,
55,Ferraz Vasconcelos,055 - FEVASC - Ferraz Vasconcelos,"Av.: Brasil, 1300 - Centro","SP ",(011) 4674-0779,08.500-020,122365,56.642.960/0057-64,305.034.253.110,,,
56,Poá,056 - POA - Poá,"Av.: 9 de Julho, 380 - Centro","SP ",(011) 4638-1823,08.550-100,88525,56.642.960/0059-26	,546.035.707.118,POÁ (https://www.notion.so/ebc039160847435699417dffb661b92b?pvs=21),460,"R$ 92,60"
57,Itapevi,057 - ITAPVI - Itapevi,"Av.: Rubens Caramez, 411 - Centro","SP ",(011) 4141-4620,06.653-005,88602,56.642.960/0060-60,373.030.161.111,,,
58,São Manuel,058 - SMANOE - São Manuel,"Av.: Irmãs Cintra, 400 - Centro","SP ",(014) 3841-2849,18.650-000,20684,56.642.960/0062-21,649.022.476.113,,,
59,Itapecerica Serra,059 - ITAPSE - Itapecerica Serra,"Rua: Major Telles, 122 - Centro","SP ",(011) 4666-6755,06.850-001,20681,56.642.960/0061-40,370.046.191.113,,,
60,Jaguariúna,060 - JAGUAR - Jaguariúna,"Rua: Cândido Bueno, 800 - Centro","SP ",(019) 3867-3054,13.910-033,89305,56.642.960/0063-02,395.020.860.110,,,
61,Várzea Paulista,061 - VARZEP - Várzea Paulista,"Rua: Antônio Luiz Sutti, 255 – Jd. Maria de Fátima","SP ",(011) 4595-8396,13.220-445,88055,56.642.960/0064-93,712.030.990.116,,,
62,Itapira,062 - ITAPRA - Itapira,"Rua: Comendador João Cintra, 370 - Centro","SP ",(019) 3863-2139,13.970-160,87807,56.642.960/0065-74,374.039.074.118,,,
63,Itaquaquecetuba,063 - ITAQUA - Itaquaquecetuba,"Av.: Emancipação, 75 - Centro","SP ",(011) 4640-3403,08.570-002,133647,56.642.960/0066-55,379.053.526.111,,,
64,Sumaré,064 - SUMARE - Sumaré,"Av.: 7 de Setembro, 131 - Centro","SP ",(019) 3873-5926,13.170-036,89464,56.642.960/0067-36,671.082.663.115,SUMARÉ CT (https://www.notion.so/72122442d5b74b018c59e28920678722?pvs=21),180,"R$ 38,20"
65,Valinhos,065 - VALIN - Valinhos,"Rua: 15 de Novembro, 44 - Centro","SP ",(019) 3871-2827,13.270-130,89302,56.642.960/0068-17,708.046.682.110,,,
66,Cosmópolis,066 - COSMOP - Cosmópolis,"Rua: 7 de Setembro, 150 - Centro","SP ",(019) 3872-1479,13.150-013,88603,56.642.960/0070-31,276.024.677.118,COSMÓPOLIS (https://www.notion.so/d1c399015f964b8e908f1132724fdc33?pvs=21),120,"R$ 16,40"
67,Itararé,067 - ITARAR - Itararé,"Rua: São Pedro, 1150 - Centro","SP ",(015) 3532-4705,18.460-000,133650,56.642.960/0069-06,380.033.906.110,,,
68,Três Corações,068 - TCORAÇ - Três Corações,"Av.: Pres. Getúlio Vargas, 380 - Centro",MG,(035) 3235-1000,37.410-000,88543,56.642.960/0072-01,693.649.701.0367,,,
69,Cruzeiro,069 - CRUZEI - Cruzeiro,"Av.: Major Novaes, 350 - Centro","SP ",(012) 3144-0021,12.701-330,122366,56.642.960/0071-12,282.052.508.119,CRUZEIRO (https://www.notion.so/c7706777eae944cfad25cfb66b14e855?pvs=21),720,"R$ 148,40"
70,Embu das Artes,070 - EMBU - Embu das Artes,"Rua: Belo Horizonte, 134 - Centro","SP ",(011) 4781-1374,06.803-440,133638,56.642.960/0073-84,298.053.207.111,,,
71,Alfenas,071 - ALFEN - Alfenas,"Rua: Francisco Mariano, 127 - Centro",MG,(035) 3292-2634,37.130-000,124534,56.642.960/0075-46,016.649.701.0449,ALFENAS (https://www.notion.so/854317ba11574650813830f41648d64f?pvs=21),560,"R$ 81,20"
72,Esp. Sto. Pinhal,072 - ESPIN - Esp. Sto. Pinhal,"Praça da Independência, 408 - Centro","SP ",(019) 3651-1664,13.990-000,103472,56.642.960/0074-65,530.029.907.110,,,
73,Caraguatatuba,073 - CARAGA - Caraguatatuba,"Rua: Altino Arantes, 630 - Centro","SP ",(012) 3882-6007,11.660-020,87299,56.642.960/0077-08,254.049.756.115,,,
74,Itatiba,074 - ITATIB - Itatiba,"Rua: Campos Salles, 255 - Centro","SP ",(011) 4524-4043,13.250-360,129816,56.642.960/0076-27,382.054.877.119,,,
75,Franco da Rocha,075 - FROCHA - Franco da Rocha,"Av.: dos Expedicionários, 164 - Centro","SP ",(011) 4449-4032,07.803-010,88054,56.642.960/0078-99,312.025.975.119,,,
76,São José dos Campos,076 - SJCSAT - São José dos Campos,"Av.: Andrômeda, 1265 - Jd. Satélite","SP ",(012) 3931-0446,12.230-000,87744,56.642.960/0079-70,645.264.410.116,,,
77,Itanhaém,077 - ITANHA - Itanhaém,"Av.: Condessa de Vimieiros, 84 - Centro","SP ",(013) 3422-6401,11.740-000,20662,56.642.960/0081-94,369.036.832.110,ITANHAEM (https://www.notion.so/ceb9a0e53078414982421b82d217d3e2?pvs=21),605,"R$ 132,40"
78,Hortolândia,078 - HORTO - Hortolândia,"Rua: Luiz Camilo de Camargo, 475 - Centro","SP ",(019) 3897-5756,13.184-260,20687,56.642.960/0083-56,748.024.402.113,,,
79,Santana Parnaíba,079 - SANPAR - Santana Parnaíba,"Rua: 13 de Maio, 13 - Centro","SP ",(011) 4154-1684,06.502-150,20691,56.642.960/0080-03,623.020.731.112,,,
80,Paulínia,080 - PAULÍN - Paulínia,"Av.: José Paulino, 975 – Jd. dos Calegaris ","SP ",(019) 3874-4584,13.140-080,120985,56.642.960/0082-75,513.037.914.112,PAULINIA (https://www.notion.so/8a569b4cfb35442fa1838a098069fb32?pvs=21),130,"R$ 38,30"
81,Francisco Morato,081 - FMORAT - Francisco Morato,"Rua: Demerson Gomes Romano, 42 - Centro","SP ",(011) 4488-3651,07.902-000,126237,56.642.960/0084-37,311.026.203.119,,,
82,Campo Limpo Plta.,082 - CLIMPO - Campo Limpo Plta.,"Av.: Adherbal da C. Moreira, 644 – Jd. América","SP ",(011) 4039-5491,13.231-190,87294,56.642.960/0085-18,245.023.650.112,,,
83,Lavras,083 - LAVRAS - Lavras,"Rua: Dr. Francisco Sales, 520 - Centro",MG,(035) 3821-5504,37.200-000,124536,56.642.960/0086-07,382.649.701.0570,,,
84,Nova Odessa,084 - NOVAOD - Nova Odessa,"Av.: João Pessoa, 139 - Centro","SP ",(019) 3466-6114,13.380-017,123598,56.642.960/0087-80,482.027.106.115,,,
85,Ribeirão Preto,085 - RIBPRE - Ribeirão Preto,"Rua: São Sebastião, 175 - Centro","SP ",(016) 3610-9700,14.015-040,135661,56.642.960/0088-60,582.480.229.115,RIBEIRÃO PRETO CT (https://www.notion.so/cb553dc6bd9d4c7d97a569175d28ace3?pvs=21),330,"R$ 80,62"
86,Ibiúna,086 - IBIÚNA - Ibiúna,"Rua: Capitão Cardoso de Mello, 135 - Centro","SP ",(015) 3241-2787,18.150-000,88050,56.642.960/0089-41,345.024.694.114,,,
87,S. Lourenço,087 - SLOURE - S. Lourenço,"Rua: Dr. Olavo Gomes Pinto, 50 - Centro",MG,(035) 3331-2774,37.470-000,88549,56.642.960/0090-85,637.649.701.0686,,,
88,Barra do Piraí,088 - BPIRAÍ - Barra do Piraí,"Trav.: Carmine Martuscello, 30 - Centro",RJ,(024) 2443-2627,27.123-040,133602,56.642.960/0091-66,76.020.604,,,
89,Tatuí,089 - TATUÍ - Tatuí,"Rua: 11 de agosto, 300 - Centro","SP ",(015) 3251-9207,18.270-001,20686,56.642.960/0092-47,687.067.561.116,,,
90,Uberaba,090 - UBERAB - Uberaba,"Rua: Artur Machado, 80 - Centro",MG,(034) 3321-7655,38.010-020,94015,56.642.960/0093-28,701.649.701.0778,,,
91,Resende,091 - RESEND - Resende,"Rua: Nilo Peçanha, 60 - Centro",RJ,(024) 3354-4214,27.542-210,103483,56.642.960/0094-09,86.316.838,RESENDE CT (https://www.notion.so/03342d64660a474cad38c141af3221fa?pvs=21),830,"R$ 170,60"
92,S. Sebast. Paraíso,092 - SSPARA - S. Sebast. Paraíso,"Praça Com. José Honório, 47 - Centro",MG,(035) 3531-5909,37.950-000,130007,56.642.960/0096-70,647.649.701.0820,,,
93,S. José Pinhais,093 - SJPIN - S. José Pinhais,"Rua: XV de Novembro, 1932 - Centro",PR,(041) 3383-0462,83.005-000,245910,56.642.960/0097-51,90.213.113-21,,,
94,São J.  Boa Vista,094 - SJBVIS - São J.  Boa Vista,"Rua: Ademar de Barros, 133 - Centro","SP ",(019) 3631-8080,13.870-080,125937,56.642.960/0095-90,639.228.044.113,,,
95,Cubatão,095 - CUBATA - Cubatão,"Av.: 9 de Abril, 2050 - Centro","SP ",(013) 3372-5180,11.510-001,20694,56.642.960/0098-32,283.101.265.113,,,
96,Ubatuba,096 - UBATUB - Ubatuba,"Rua: Hans Staden, 497 - Centro","SP ",(012) 3833-1505,11.680-000,87297,56.642.960/0099-13,701.103.351.113,,,
97,Campo Largo,097 - CLARGO - Campo Largo,"Rua: XV de Novembro, 2177 - Centro",PR,(041) 3292-3763,83.601-030,279055,56.642.960/0101-72,90.218.363-94,,,
98,Queimados,098 - QUEIMA - Queimados,"Rua: Ver. Marinho H. Oliveira, 100 - Centro",RJ,(021) 2665-2278,26.325-282,124945,56.642.960/0102-53,86.393.573,,,
99,Nova Iguaçu,099 - NIGUAÇ - Nova Iguaçu,"Trav.: Rosinda Martins, 16 - Centro",RJ,(021) 2668-3340,26.210-030,135656,56.642.960/0011-81,77.100.709,,,
100,São José Rio Preto,100 - SJRPRE - São José Rio Preto,"Rua: General Glicério, 2718 - Centro","SP ",(017) 3235-9000,15.015-400,135707,56.642.960/0100-91,647.376.146.111,SÃO JOSE RIO PRETO CT (https://www.notion.so/15453ff80379426faef0ca108b951284?pvs=21),550,"R$ 131,00"
101,Nilópolis,101 - NILOP - Nilópolis,"Estr.: Mirandela, 280 - Centro",RJ,(021) 2792-1649,26.520-335,135657,56.642.960/0006-14,76.192.545,,,
102,Ponta Grossa,102 - PGROSS - Ponta Grossa,"Pça. Barão do Rio Branco, 41 - Centro",PR,(042) 3225-6079,84.010-710,326641,56.642.960/0103-34,90.228.037.59,,,
103,Itaguaí,103 - ITAGUA - Itaguaí,"Rua: Dr. Curvelo CavalcantI, 500 - Centro",RJ,(021)  2688-9000,23.815-290,103270,56.642.960/0105-04,76.208.751,,,
