L.,CIDADE,SIGLA,ENDEREÇO,UF,FONE,CEP,COD OBRA,CNPJ,INSCR. ESTAD,Ordens de Serviço,KM IDA E VOLTA,PEDÁGIO IDA E VOLTA
202,Ibaté,202 - IBATE - Ibaté,"Av. São João, 1118 – Centro","SP ",(016) 3343-5146,14.815-000,274260,56.642.960/0204-88,341.017.300.118,IBATÉ (https://www.notion.so/db05ec9904e145eeb68e1a1f57aa48cb?pvs=21),160,"R$ 32,80"
203,Louveira,203 - LOUVEI - Louveira,"Av. Ricieri Chiquetto, 84 – Santo Antonio ","SP ",C,13.290-000,214290,56.642.960/0203-05,421.020.069.113,,,
204,Ourinhos,204 - OURIN - Ourinhos,"Av. 9 de Julho, 76 – Centro","SP ",(014) 3322-1911,19.900-070,257111,56.642.960/0206-40,495.100.093.118,,,
205,Rio das Pedras,205 - RIOPED - Rio das Pedras,"Rua Prudente de Moraes, 17 – Centro","SP ",(019) 3493-5097,13.390-000,282123,56.642.960/0205-69,588.019.203.112,,,
206,Piracicaba,206 - PITERE - Piracicaba,"Rua Virgilio da Silva Fagundes, 300 – Santa Terezinha","SP ",(019) 3425-1954,13.411-083,251109,56.642.960/0207-20,535.312.129.111,,,
207,Rio Claro,207 - CLACER - Rio Claro,"Rua 6, 199 – Jd. Chervesson","SP ",(019) 3524-4721,13.505-430,263096,56.642.960/0209-92,587.175.266.118,,,
208,Pouso Alegre,208 - POUSOL - Pouso Alegre,"Rua Prefeito Olavo Gomes de Oliveira, 1991 – Jd. Olimpico",MG,(035) 3422-3117,37.550-000,221931,56.642.960/0210-26,525.649.701.2047,,,
209,Pontal,209 - PONTAL - Pontal,"Rua Ananias Costa Freitas, 414 – Centro","SP ",(016) 3953-7078,14.180-000,213466,56.642.960/0208-01,550.023.904.115,,,
210,Boa Esperança,210 - BOAESP - Boa Esperança,"Rua 02 de Novembro, 95 – Centro",MG,(035) 3851-3223,37.170-000,259791,56.642.960/0211-07,525.649.701.2128,,,
211,Mairinque,211 - MAIRIN - Mairinque,"Rua Julio Prestes de Albuquerque, 51 – Centro","SP ",(011) 4708-7697,18.120-000,252670,56.642.960/0213-79,432.036.245.117,,,
212,Itápolis,212 - ITAPOL - Itápolis,"Rua Barão do Rio Branco, 677 – Centro","SP ",(016) 3262-7330,14.900-000,284633,56.642.960/0214-50,375.046.135.116,,,
213,Iperó,213 - IPERO - Iperó,"Av.: Dr. José Marques Penteado, 218 – Centro","SP ",(015) 3266-2407,18.560-000,342969,56.642.960/0215-30,358.015.012.116,,,
214,Itatiaia,214 - ITATIA - Itatiaia,"Rua Prefeito Assumpção, 307 – Centro",RJ,(024) 3352-6356,27.580-000,238527,56.642.960/0216-11	,86.544.920,,,
215,Cotia,215 - COTCAU - Cotia,"Av. Inocêncio Pires de Oliveira, 176 – Centro (C. do Alto)","SP ",(011) 4611-4104,06.725-105,166502,56.642.960/0217-00,278.204.548.112,,,
216,Santa Gertrudes,216 - SGERT - Santa Gertrudes,"Avenida 01, 400 – Centro","SP ",(019) 3545-2872,13.510-000,359052,56.642.960/0218-83,615.016.000.114,,,
217,Guaira,217 - GUAIRA - Guaira,"Avenida 11, 392 – Centro","SP ",(017) 3331-7033,14.790-000,392554,56.642.960/0219-64,322.042.056.111,,,
218,Serrana,218 - SERANA - Serrana,"Rua Nossa Senhora das Dores, 402 – Centro","SP ",(016) 3489-3256,14.150-000,328131,56.642.960/0220-06,663.034.798.115,SERRANA (https://www.notion.so/afe9756a45fe402fbe6e4e108e5f3f16?pvs=21),340,"R$ 80,60"
219,Suzano,219 - SUZBEN - Suzano,"Avenida Francisco Marengo, 2041 - Jd. Dona Benta","SP ",(011) 4752-4404,08.694-520,280778,56.642.960/0221-89,672.271.804.114,,,
220,B. Jesus dos Perdões,220 - BJPERD - B. Jesus dos Perdões,"Avenida Santos Dumont, 615 – Centro","SP ",(011) 4012-4611,12.955-000,335702,56.642.960/0222-60,220.018.867.119,,,
221,Brotas,221 - BROTAS - Brotas,"Av. Rodolpho Guimarães, 244 – Centro","SP ",(014) 3653-8684,17.380-000,278106,56.642.960/0223-40,228.023.790.110,,,
222,Caraguatatuba,222 - CARAIN - Caraguatatuba,"Av. Rio Branco, 1615 – Indaia","SP ",(012) 3887-1518,11.665-600,331757,56.642.960/0224-21,254.153.614.111,,,
223,Mogi Guaçu,223 - MGGALM - Mogi Guaçu,"Av. dos Trabalhadores, 3.550 – Jardim Almira","SP ",(019) 3861-1871,13.847-040,329492,56.642.960/0225-02,455.140.155.114,,,
224,Sorocaba,224 - SORLIM - Sorocaba,"Av. Prof. Izoraida Marques Peres, 183 – Parque Campolim","SP ",(015) 3233-7650,18.048-110,307771,56.642.960/0226-93,669.872.076.117,,,
225,Resende,225 - RESEAL - Resende,"Rua José Zolvino Coutinho, 157 – Nova Resende",RJ,(024) 3355-0502,27.521-760,378558,56.642.960/0228-55,86.896.176,,,
226,Ituverava,226 - ITUVER - Ituverava,"Av. Dr. José Anibal Soares de Oliveira, 561 – Centro","SP ",(016) 3729-6866,14.500-000,404350,56.642.960/0227-74,389.046.499.112,,,
227,Dois Córregos,227 - DOISCO - Dois Córregos,"Praça Arthur de Carvalho, 189 – Centro","SP ",(014) 3652-1757,17.300-000,402953,56.642.960/0229-36,289.029.431.118,,,
228,São Vicente,228 - SVICON - São Vicente,"Av. Deputado Ulisses Guimarães, 1524 – Jd. Rio Branco","SP ",(013) 3566-0978,11.347-000,333520,56.642.960/0230-70,657.308.621.115,,,
229,Mirassol,229 - MIRASS - Mirassol,"Praça Dr. Anísio José Moreira, 20-69 – Centro","SP ",(017) 3242-8779,15.130-065,463970,56.642.960/0231-50,451.067.579.114,,,
230,Angra dos Reis,230 - ANGMAM - Angra dos Reis,"Rua Pres. Getulio Vargas, 1374 – Parque Mambucaba ",RJ,(024) 3362-4623,"23.954-095 ",363309,56.642.960/0232-31,87.023.494,ANGRA REIS BR (https://www.notion.so/6a48030bfc65494494f39653da44a302?pvs=21),1050,"R$ 170,60"
231,Ibitinga,231 - IBITIN - Ibitinga,"Rua Treze de Maio, 789 – Centro","SP ",(016) 3341-3754,14.940-000,448807,56.642.960/0234-01,344.095.301.114,,,
232,Engenheiro Coelho,232 - ENGECO - Engenheiro Coelho,"Rua Amadeu Jorge Teresani, 98 – Jd. Amalia","SP ",(019) 3857-2031,13.165-000,359049,56.642.960/0233-12,745.014.638.115,ENGENHEIRO COELHO (https://www.notion.so/77af979d804f451b87cc769a7afb8bb6?pvs=21),110,"R$ 39,00"
233,São Carlos,233 - SCAPRA - São Carlos,"Av. Sallum, 787 – Vila Prado","SP ",(016) 3501-1104,13.574-040,342546,56.642.960/0235-84,637.370.980.111,,,
234,Ponta Grossa,234 - PGRORA - Ponta Grossa,"Rua Nicolau Kluppel Neto, 517 – Chapada",PR,(042) 3236-3668,84.062-112,406778,56.642.960/0236-65,90.710.140-18,,,
235,José Bonifácio,235 - JBONIF - José Bonifácio,"Praça Marechal Deodoro Fonseca, 187 – Centro","SP ",(017) 3245-5203,15.200-000,465200,56.642.960/0237-46,405.047.170.112,JOSÉ BONIFACIO (https://www.notion.so/055238e7e9824e05a605469646ab2e28?pvs=21),570,"R$ 149,80"
236,Araçoiaba da Serra,236 - ARACSE - Araçoiaba da Serra,"Rua Professor Toledo, 22 – Centro","SP ",(015) 3281-5227,18.190-000,407913,56.642.960/0239-08,178.027.343.118,,,
237,Penápolis,237 - PENAP - Penápolis,"Av. Luiz Osório, 747 – Centro","SP ",(018) 3652-5456,16.300-013,471223,56.642.960/0238-27,521.084.537.111,,,
238,Bertioga,238 - BERTIO - Bertioga,"Av. Anchieta, 2138 – Centro","SP ",(013) 3317-1677,11.250-360,436692,56.642.960/0240-41,738.046.592.115,BERTIOGA (https://www.notion.so/e77a9eaf739444d58a00c5b77647c60f?pvs=21),570,"R$ 97,80"
239,Promissão,239 - PROMIS - Promissão,"Rua Olivio Pereira Ramos, 125 – Centro","SP ",(014) 3541-2656,16.370-000,471447,56.642.960/0241-22,564.043.771.118,PROMISSÃO (https://www.notion.so/51b942df7cc0404c923a3bece8b39c70?pvs=21),620,"R$ 131,20"
240,Conchal,240 - CONCHA - Conchal,"Rua Antonio Bueno de Moraes, 384 – Vila Aparecida","SP ",(019) 3866-2509,13.835-000,436108,56.642.960/0242-03,270.028.927.112,,,
241,Américo Brasiliense,241 - ABRASI - Américo Brasiliense,"Av. Joaquim Afonso da Costa, 89 – Bela Vista","SP ",(016) 3396-8916,14.820-000,430517,56.642.960/0243-94,166.033.200.115,,,
242,Jundiaí,242 - JUNDCE - Jundiaí,"Rua Barão de Jundiaí, 923 – Centro","SP ",(011) 4521-4198,13.201-012,402027,56.642.960/0245-56,407.577.557.111,,,
243,Aguai,243 - AGUAI - Aguai,"Rua Major Braga, 560 – Centro","SP ",(019) 3652-1663,13.860-000,472129,56.642.960/0244-75,152.039.878.119,,,
244,Mogi das Cruzes,244 - MGCCES - Mogi das Cruzes,"Av. Ricieri José Marcatto, 1105 – Vila Suissa","SP ",(011) 4761-6766,08.810-020,423787,56.642.960/0246-37,454.512.731.118,,,
245,Jundiaí,245 - JUNDVA - Jundiaí,"Rua Vigário João José Rodrigues, 43 – Centro","SP ",(011) 4526-3248,13.201-001,461804,56.642.960/0212-98,407.329.386.110,JUNDIAI 245 (https://www.notion.so/b925fedbd69047bda1c5479a8c765690?pvs=21),250,"R$ 62,60"
246,Lins,246 - LINS - Lins,"Rua Sete de Setembro, 161 – Centro","SP ",(014) 3523-9874,16.400-025,487347,56.642.960/0247-18,419.101.376.114,,,
247,Sumaré,247 - SUMMAT - Sumaré,"Av. Emílio Bosco, 1101 – Jd. Morumbi (Nova Veneza)","SP ",(019) 3864-9262,13.180-000,450131,56.642.960/0249-80,671.332.614.114,SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21),190,"R$ 38,20"
248,Americana,248 - AMEZAN - Americana,"Av. Cecília Meirelles, 170 – Jd. Nossa Sra. Aparecida","SP ",(019) 3469-4072,13.474-470,522427,56.642.960/0248-07,165.414.501.110,,,
249,Angatuba,249 - ANGATU - Angatuba,"Rua Tenente José Marcos de Albuquerque, 190 – Centro","SP ",(015) 3355-0227,18.240-000,546233,56.642.960/0251-02,171.036.230.114,,,
250,Piraju,250 - PIRAJU - Piraju,"Av. Dr. Domingos Theodoro Gallo, 178 – Centro","SP ",(014) 3351-1054,18.800-000,499956,56.642.960/0250-13,537.049.294.110,,,
251,Marília,251 - MARINO - Marília,"Av. João Ramalho, 1910 – Núcleo Habitac. Nova Marília","SP ",(014) 3451-8408,17.522-363,513991,56.642.960/0252-85,438.406.434.115,,,
252,Bandeirantes,252 - BANDEI - Bandeirantes,"Av. Bandeirantes, 1012 – Centro",PR,(043) 3145-4343,86.360-000,731985,56.642.960/0254-47,90.763.685-27,,,
253,Olímpia,253 - OLIMPI - Olímpia,"Rua Nove de Julho, 1019 – Centro","SP ",(017) 3280-4520,15.400-000,518948,56.642.960/0255-28,487.076.790.112,,,
254,Ibiporã,254 - IBIPOR - Ibiporã,"Av. Dom Pedro II, 115 – Centro",PR,(043) 3158-0100,86.200-000,731982,56.642.960/0256-09,90.765.882-17,,,
255,Frutal,255 - FRUTAL - Frutal,"Rua Domiciano Ferreira, 468 – Centro",MG,(034) 3421-4052,38.200-000,513999,56.642.960/0253-66,525.649.701.2209,FRUTAL (https://www.notion.so/6197d509c08e4f22938b070925897c44?pvs=21),660,"R$ 131,60"
256,Igarapava,256 - IGARAP - Igarapava,"Praça Rui Barbosa, 131 – Centro","SP ",(016) 3172-1107,14.540-000,719764,56.642.960/0257-90,349.040.719.117,IGARAPAVA (https://www.notion.so/010aace9b8074e9e966abfc70d104e8a?pvs=21),590,"R$ 137,40"
257,S. Antônio da Platina,257 - SAPLAT - S. Antônio da Platina,"Rua Ruy Barbosa, 975 – Centro",PR,(043) 3141-6000,86.430-000,641009,56.642.960/0259-51,90.779.672-89,,,
258,Araçariguama,258 - ARACAR - Araçariguama,"Av. Nicolau Ferreira de Souza, 40 – Centro","SP ",(011) 4136-4221,18.147-000,518012,56.642.960/0258-70,734.022.927.117,ARAÇARIGUAMA (https://www.notion.so/456a578eb78d49638ff01b98e76ba823?pvs=21),310,"R$ 60,20"
259,Brodowski,259 - BRODOW - Brodowski,"Praça Martin Moreira, 16 – Centro","SP ",(016) 3664-0834,14.340-000,683467,56.642.960/0260-95,227.034.992.112,,,
260,Piracicaba,260 - PIRALV - Piracicaba,"Av. Rio das Pedras, 2401 – Piracicamirim","SP ",(019) 3411-5193,13.425-380,578193,56.642.960/0261-76,535.700.704.110,,,
261,Paraguaçu Paulista,261 - PARAGP - Paraguaçu Paulista,"Rua Sete de Setembro, 707 – Centro","SP "," (018) 3362-1936",19.700-000,695827,56.642.960/0262-57,503.073.607.114,,,
262,Assis,262 - ASSIS - Assis,"Avenida Rui Barbosa, 525 - Centro","SP ",,18.800-002,787581,56.642.960.0297-87,189.292.318.119,,,
263,Hortolândia,263 - HORTRO - Hortolândia,"Rua Antônio Fernandes Leite, 185 – Jardim Santa Izabel","SP "," (019) 3845-7748",13.185-230,610608,56.642.960/0266-80,748.277.133.116,,,
264,Cravinhos,264 - CRAVIN - Cravinhos,"Rua XV de Novembro, 112 – Centro","SP "," (016) 3951-3624",14.140-000,636076,56.642.960/0267-61,279.049.021.114,,,
265,Londrina,265 - LONDSA - Londrina,"Av. Saul Elkind, 1650 – Jardim Santa Cruz",PR,(043) 3356-1122,86.084-000,513696,56.642.960/0263-38,90.794.879-00,,,
266,Mandaguari,266 - MANDRI - Mandaguari,"Av. Amazonas, 1126 – Centro",PR,(044) 3133-0003,86.975-000,665072,56.642.960/0265-08,90.796.316-01,,,
267,Cornélio Procópio,267 - CORNEP - Cornélio Procópio,"Av. XV de Novembro, 633 – Centro",PR,(043) 3132-0100,86.300-000,665075,56.642.960/0268-42,90.799.214-48,,,
268,Pitangueiras,268 - PITANG - Pitangueiras,"Rua Amazonas, 53 – Centro","SP "," (016) 3952-0937",14.750-000,641007,56.642.960/0272-29,543.042.697.114,,,
269,Birigui,269 - BIRIGI - Birigui,"Rua Bento da Cruz, 432 – Centro","SP "," (018) 3634-8119",16.200-053,577527,56.642.960/0271-48,214.255.898.117,BIRIGUI (https://www.notion.so/20dce482a06546df8e51988f04e70870?pvs=21),740,"R$ 150,60"
270,São Miguel Arcanjo,270 - SMIGAR - São Miguel Arcanjo,"Rua Dante Carraro, 666 – Centro","SP "," (015) 3379-9188",18.230-000,,56.642.960/0270-67,650.062.539.110,,,
271,Jarinu,271 - JARINU - Jarinu,"Av. Ernesto de Moraes, 77 – Centro","SP "," (011) 4016-1003",13.240-000,692585,56.642.960/0269-23,400.033.950.119,,,
272,Jaguariaíva,272 - JARIVA - Jaguariaíva,"Av. Antonio Cunha, 170 – Centro",PR," (043) 3535-1084",84200-000,641006,56.642.960/0273-00,90.815.681-19,,,
273,Marialva,273 - MARIAL - Marialva,"Av. Cristovão Colombo, 1323 – Centro",PR,(044) 3232-7423,86.990-000,749448,56.642.960/0274-90,90.824.115-07,,,
274,Garça,274 - GARCA - Garça,"Rua Sargento Wilson Abel de Oliveira, 200 – Ferraropolis","SP ",(014) 3471-2678,17.400-000,661134,56.642.960/0275-71,315.073.084.111,,,
275,Holambra,275 - HOLAMB - Holambra,"Rua Rota dos Imigrantes, 249 – Centro","SP ",(019) 3802-1178,13.825-000,746985,56.642.960/0276-52,747.022.674.111,HOLAMBRA (https://www.notion.so/2033df85ea4649fb85189c20ac265a46?pvs=21),140,"R$ 55,80"
276,São José dos Campos,276 - SJCSAN - São José dos Campos,"Av. Rui Barbosa, 2479 – Santana","SP ",(012) 3922-6234,12.212-000,641798,56.642.960/0277-33,125.049.732.112,,,
277,Miguel Pereira,277 - MIGPER - Miguel Pereira,"Av. Roberto Silveira, nº 500 - Centro",RJ,(024) 2090-4826,26.900-000,713018,56.642.960/0292-72,12.176.902,MIGUEL PEREIRA (https://www.notion.so/025b969eb6484bad9da756ac20861864?pvs=21),1130,"R$ 170,60"
278,Monte Sião,278 - MOSIAO - Monte Sião,"Rua Juscelino Kubitschek de Oliveira, 429 – Centro",MG,(035) 3465-2464,37.580-000,,56.642.960/0279-03,525.649.701.2381,,,
279,Vassouras,279 - VASSOU - Vassouras,"Rua Academica Eliete Nunes Barbosa, 27 – Centro",RJ,,27.700-000,653840,56.642.960/0280-39,11.700.527,VASSOURAS (https://www.notion.so/353be1cb266f4dec83262d71da66878a?pvs=21),1030,"R$ 183,60"
280,ILHABELA,280 - ILHABE - ILHABELA,"AV. Princesa Isabel, 1449 - Perequê","SP ",(012)3896-5731,11.630-000,777702,56.642.960/0281-10,352.060.327.115,,,
281,"Tietê ","281 - TIETE - Tietê ","Rua Lara Campos, 382 - Centro","SP ",(015)3282-8889,18.530-000,690852,56.642.960/0282-09,692.070.530.118,TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21),260,"R$ 41,40"
282,Bady Bassit,282 - BASSIT - Bady Bassit,"Praça Rio Preto, 160 - Centro","SP ",(017)3258-2858,15.115-000,695828,56.642.960/0284-62,195.037.938.118,,,
283,"Taquaritinga ","283 - TAQTIN - Taquaritinga ","Rua Visconde do Rio Branco, 600 - Centro","SP ",(016)3252-6229,15.900-015,,56.642.960/0283-81,684.135.097.110,,,
284,Rio Grande da Serra,284 - RGSERR - Rio Grande da Serra,"Avenida Dom Pedro I, 302 - Centro","SP ",(011)4826-8357,09.450-000,773520,56.642.960/0285-43,589.040.571.117,RIO GRANDE SERRA (https://www.notion.so/23f8b49a86d74b478ff360dd0b1e855f?pvs=21),520,"R$ 87,40"
285,Biritiba - Mirim,285 - BIRMI - Biritiba - Mirim,"Rua Vinte e Cinco de Março, 100 - Jd. Pamela ","SP ",(011)4692-6417,08.940-000,777700,56.642.960/0288-96,215.040.005.115,,,
286,Indaiatuba,286 - INDARI - Indaiatuba,"Avenida Ário Barnabé, 1441 - Jardim Morada do Sol","SP ",(019)3935-4005,13.348-500,722667,56.642.960/0286-24,353.443.460.110,,,
287,Mangaratiba,287 - MANGA - Mangaratiba,"Estrada São João Marcos, 150 - Nova Mangaratiba ",RJ,(021)3789-0516,23.860-000,684574,56.642.960/0287-05,11.932.223,MANGARATIBA (https://www.notion.so/cec234335f114c94a5715efa011caaf3?pvs=21),1040,"R$ 170,60"
288,Campinas,288 - CAMGER - Campinas,"Rua Horacio Leonardi,134 - Barao Geraldo","SP ",(019) 3249-0004,13.084-105,,56.642.960/0290-00,122.548.603.114,Modelo Geral (https://www.notion.so/9f08a604283e4186b3bdeb6611e28480?pvs=21),,
289,Limeira,289 - LIMJOA - Limeira,"Aenida Piracicaba, 731 - Vila Sao Joao","SP ",(019) 3443-3139,13.480-743,783992,56.642.960/0291-91,417.662.185.117,LIMEIRA BR (https://www.notion.so/cf1a726382514c0cb092f0b7e80ff127?pvs=21),80,"R$ 16,40"
290,,"290 -  - ",,,,,,,,,,
291,Campinas,291 - CAMELI - Campinas,"Avenida Ruy Rodriguez, 711- Jd Novo Campos Eliseos","SP ",(019) 3223-2020,13.060-192,766111,56.642.960/0293-53,122.612.348.112,,,
292,Maripora,292 - MAIRITP - Maripora,"Avenida Pietro Petri, 479 - Terra Preta","SP ",(011) 4486-1820,07.661-435,728247,56.642.960/0294-34,433.159.509.110,,,
293,Atibaia,293 - ATICAE - Atibaia,"Avenida Professor Flavio Pires de Camargo, 819 - Caetetuba","SP ",(011) 4411-9040,12.951-750,744562,56.642.960/0295-15,190.365.218.119,,,
294,Taubate,294 - TAUBIN - Taubate,"Avenida Indepedencia, 1130 - Indepedencia","SP ",(012) 3681-9040,12.031-001,754858,56.642.960/0298-68,688.63.223.110,TAUBATÉ BR (https://www.notion.so/76a4b6c29c2e43b1965c2f2e1b84ac1a?pvs=21),550,"R$ 122,40"
295,Ribeirao Preto,295 - RUBIP - Ribeirao Preto,"Avenida Dom Pedro I, 911 - Ipiranga","SP ",(016) 3966-5551,14.055-620,770666,56.642.960/0296-04,797.792.784.119,,,
296,Porto Real,296 - Porto Real - Porto Real,"Avenida Dom Pedro II, 1182 - Centro",RJ,,27.570-000,794052,56.642.960/0300-17,12.495.048,,,
297,Araraquara,297 - 2ª Araraq - Araraquara,"Avenida Pedro Jacob Celli, 528 Jd. Floridiana","SP ",,14.810-216,,56.642.960/0299-49,181.548.712.112,ARARAQUARA BR (https://www.notion.so/03dc79e7dea04bb3b646cfd09ad11ed4?pvs=21),220,"R$ 32,80"
298,Rancharia,298 - RANCHA - Rancharia,"Avenida Pedro de Toledo,325 - Centro","SP ",,19.600-000,,56.642.960/0305-21,570.098.050.110,,,
299,Marica,299 - MARICA - Marica,"Av. Zumbi dos Palmares,112 - Barroco (Itaipuaçu)",RJ,,24.936-530,772555,56.642.960/0302-89,12.581.882,,,
300,São Jose do Rio Preto,300 - SJRPMI - São Jose do Rio Preto,"Av. Mirassolandia,1717 - Solo Sagrado  - Mini Dist.Ind","SP ",,15.043-501,790190,56.642.960/0304-40,124.391.942.119,SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21),550,"R$ 131,00"
301,Americana,301 - ALMEJAR - Americana,"Avenida de Cilo,1579 - Cidade Jardim I","SP ",,13.466-550,,56.642.960/0303-60,165.628.088.114,,,
302,Paraty,302 - PARATY - Paraty,"Avenida Roberto Silveira,1572 - Portao de Ferro I",RJ,,23.970-000,753617,56.642.960/0301-06,12.495.056,,,
303,Guararapes,303 - GUAPES - Guararapes,"Av. Marechal Floriano, 748 - Centro","SP ",,16.700-00,786896,56.642.960/0306-02,330.094.177.112,,,
304,Morro Agudo,304 - MORAGU - Morro Agudo,"Rua Inacio Franco, 1066,  Centro","SP ",,14.640-000,,56.642.960/308-74,467.057.727.114,,,
305,Osvaldo Cruz,305 - OSVCRU - Osvaldo Cruz,Av. Presideente Roosevelt n º 657 - Centro,"SP ",,17.700-000,786895,56.642.960/0307-93,494.102.516.113,OSVALDO CRUZ (https://www.notion.so/c1a21b14a4aa4d099b02703cdabb75d7?pvs=21),860,"R$ 167,80"
306,GUAPIMIRIM,306 - GUAPMI - GUAPIMIRIM,"Rua Pulcherio Lopes, 15  Centro",RJ,,25.946-241,,56.642.960/0309-55,14.051.791,,,
307,,"307 -  - ",,"SP ",,,,,,,,
308,,"308 -  - ",,"SP ",,,,,,,,
