SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
284 - RGSERR - Rio Grande da Serra,09.450-000,Rio Grande da Serra,56.642.960/0285-43,773520,"Avenida Dom Pedro I, 302 - Centro",(011)4826-8357,589.040.571.117,520,284,RIO GRANDE SERRA (https://www.notion.so/23f8b49a86d74b478ff360dd0b1e855f?pvs=21),"R$ 87,40","SP "
173 - APARNO - Aparecida,12.570-000,Aparecida,56.642.960/0174-28,88533,"Rua Barão do Rio Branco, 543 - Centro",(012) 3108-1506,174.153.682.117,,173,,,"SP "
266 - MANDRI - Mandaguari,86.975-000,Mandaguari,56.642.960/0265-08,665072,"Av. Amazonas, 1126 – Centro",(044) 3133-0003,90.796.316-01,,266,,,PR
214 - ITATIA - Itatiaia,27.580-000,Itatiaia,56.642.960/0216-11	,238527,"Rua Prefeito Assumpção, 307 – Centro",(024) 3352-6356,86.544.920,,214,,,RJ
192 - SORIVU - Sorocaba,18.075-042,Sorocaba,56.642.960/0193-90,661119,"Av. Itavuvu, 409 – Vila Olímpia",(015) 3233-6902,669.415.047.110,,192,,,"SP "
006 - AMERIC - Americana,13.465-490,Americana,56.642.960/0009-67,94011,"Rua: 12 de Novembro, 295 - Centro",(019) 3461-3122,165.055.770.112,,6,,,"SP "
193 - IGTIET - Igaraçu do Tietê,17.350-000,Igaraçu do Tietê,56.642.960/0194-71,167303,"Rua Pereira Rezende, 757 – Centro",(014) 3644-4612,348.012.711.110,,193,,,"SP "
"281 - TIETE - Tietê ",18.530-000,"Tietê ",56.642.960/0282-09,690852,"Rua Lara Campos, 382 - Centro",(015)3282-8889,692.070.530.118,260,281,TIETÊ (https://www.notion.so/f6f787f390974101b9982e30d852008e?pvs=21),"R$ 41,40","SP "
171 - SALPIR - Salto de Pirapora,18.160-000,Salto de Pirapora,56.642.960/0173-47,135722,"Pça. Elpídio Marcello, 300 - Centro",(015) 3292-4064,602.074.284.118,332,171,SALTO PIRAPORA (https://www.notion.so/57a406f4058849c89b3698e5586e16cf?pvs=21),"R$ 53,60","SP "
041 - FRANCA - Franca,14.400-690,Franca,56.642.960/0044-40,123567,"Rua: Major Claudiano, 2140 - Centro",(016) 3724-2206,310.165.548.113,500,41,FRANCA (https://www.notion.so/9c0a68832f8c49af9800e9c8b9c55814?pvs=21),"R$ 123,50","SP "
256 - IGARAP - Igarapava,14.540-000,Igarapava,56.642.960/0257-90,719764,"Praça Rui Barbosa, 131 – Centro",(016) 3172-1107,349.040.719.117,590,256,IGARAPAVA (https://www.notion.so/010aace9b8074e9e966abfc70d104e8a?pvs=21),"R$ 137,40","SP "
108 - PRINHO - Curitiba,81.150-050,Curitiba,56.642.960/0109-20,274405,"Av.: Winston Churchill,2415 - Pinheirinho",(041) 3248-8405,90.240.028.18,,108,,,PR
089 - TATUÍ - Tatuí,18.270-001,Tatuí,56.642.960/0092-47,20686,"Rua: 11 de agosto, 300 - Centro",(015) 3251-9207,687.067.561.116,,89,,,"SP "
204 - OURIN - Ourinhos,19.900-070,Ourinhos,56.642.960/0206-40,257111,"Av. 9 de Julho, 76 – Centro",(014) 3322-1911,495.100.093.118,,204,,,"SP "
140 - PRAGRA - Praia Grande,11.701-000,Praia Grande,56.642.960/0138-64,20664,"Av. Presidente Costa e Silva, 395 - Boqueirão",(013) 3473-9800,558.187.872.114,,140,,,"SP "
273 - MARIAL - Marialva,86.990-000,Marialva,56.642.960/0274-90,749448,"Av. Cristovão Colombo, 1323 – Centro",(044) 3232-7423,90.824.115-07,,273,,,PR
139 - PARGUA - Paranaguá,83.203-260,Paranaguá,56.642.960/0142-40,206207,"Travessa Correia de Freitas, 89 - Centro",(041) 3424-8697,90.318.661-51,,139,,,PR
035 - ITAJUB - Itajubá,37.500-000,Itajubá,56.642.960/0038-00,88547,"Rua: Dr. Pereira Cabral, 268 - Centro",(035) 3622-0546,324.649.701.0171,561,35,ITAJUBA (https://www.notion.so/36665505b6bc4b1f8376b586727246d7?pvs=21),"R$ 114,00",MG
044 - MGMIRI - Mogi Mirim,13.800-140,Mogi Mirim,56.642.960/0047-92,89304,"Rua: Conde de Parnaíba, 400 - Centro",(019) 3806-2986,456.044.976.117,,44,,,"SP "
070 - EMBU - Embu das Artes,06.803-440,Embu das Artes,56.642.960/0073-84,133638,"Rua: Belo Horizonte, 134 - Centro",(011) 4781-1374,298.053.207.111,,70,,,"SP "
122 - JAU - Jaú,17.201-440,Jaú,56.642.960/0123-88,133656,"Rua: Edgard Ferraz, 527 - Centro",(014) 3626-2550,401.162.718.111,256,122,JÁU  (https://www.notion.so/d59797f835154df78503546cfe51c1a6?pvs=21),"R$ 58,00","SP "
145 - GUAXUP - Guaxupé,37.800-000,Guaxupé,56.642.960/0147-55,130003,"Av. Conde Ribeiro do Valle, 400 - Centro",(035) 3551-5955,287.649.701.1293,,145,,,MG
093 - SJPIN - S. José Pinhais,83.005-000,S. José Pinhais,56.642.960/0097-51,245910,"Rua: XV de Novembro, 1932 - Centro",(041) 3383-0462,90.213.113-21,,93,,,PR
007 - RIOCLA - Rio Claro,13.500-380,Rio Claro,56.642.960/0010-09,88540,"Av.: 5, 408 - Centro",(019) 3524-2399,587.048.672.119,,7,,,"SP "
112 - ARUJÁ - Arujá,07.400-610,Arujá,56.642.960/0112-25,88538,"Av.: João Manoel, 220 - Centro",(011) 4655-2780,188.079.452.115,,112,,,"SP "
136 - ANOGUE - Artur Nogueira,13.160-000,Artur Nogueira,56.642.960/0140-89,133582,"Rua 7 de Setembro, 1500 - Centro",(019) 3827-1667,187.082.566.113,,136,,,"SP "
226 - ITUVER - Ituverava,14.500-000,Ituverava,56.642.960/0227-74,404350,"Av. Dr. José Anibal Soares de Oliveira, 561 – Centro",(016) 3729-6866,389.046.499.112,,226,,,"SP "
187 - BATAT - Batatais,14.300-093,Batatais,56.642.960/0183-19,133605,"Rua Santos Dumont, 64 – Centro",(016) 3662-5658,208.121.787.112,,187,,,"SP "
158 - MONTAL - Monte Alto,15.910-000,Monte Alto,56.642.960/0160-22,109764,"Rua Nhonhô do Livramento, 1954 - Centro",(016) 3242-8438,461.101.291.116,,158,,,"SP "
152 - SPCTIR - São Paulo,08.490-490,São Paulo,56.642.960/0152-12,88528,"Av. Souza Ramos, 245 - Guaianazes",(011) 6285-2644,117.119.512.115,520,152,TIRADENTES (https://www.notion.so/fe898f57e63b418482ed9a73ae3fa2c4?pvs=21),"R$ 87,40","SP "
130 - PERUIB - Peruíbe,11.750-000,Peruíbe,56.642.960/0132-79,20692,"Av.: Domingos da Costa Grimaldi, 41 - Centro",(013) 3453 - 5294,524.093.519.118,700,130,PERUIBE (https://www.notion.so/c4fe3e52571b4c49bf19c6894840fb62?pvs=21),"R$ 132,40","SP "
218 - SERANA - Serrana,14.150-000,Serrana,56.642.960/0220-06,328131,"Rua Nossa Senhora das Dores, 402 – Centro",(016) 3489-3256,663.034.798.115,340,218,SERRANA (https://www.notion.so/afe9756a45fe402fbe6e4e108e5f3f16?pvs=21),"R$ 80,60","SP "
020 - SUZANO - Suzano,08.674-040,Suzano,56.642.960/0024-04,20679,"Praça João Pessoa, 181 - Centro",(011) 4748-2482,672.039.292.110,,20,,,"SP "
251 - MARINO - Marília,17.522-363,Marília,56.642.960/0252-85,513991,"Av. João Ramalho, 1910 – Núcleo Habitac. Nova Marília",(014) 3451-8408,438.406.434.115,,251,,,"SP "
298 - RANCHA - Rancharia,19.600-000,Rancharia,56.642.960/0305-21,,"Avenida Pedro de Toledo,325 - Centro",,570.098.050.110,,298,,,"SP "
023 - JACAR - Jacareí,12.327-005,Jacareí,56.642.960/0026-68,94007,"Rua: Alfredo Schurig, 34 - Centro",(012) 3951-0212,392.045.338.118,,23,,,"SP "
234 - PGRORA - Ponta Grossa,84.062-112,Ponta Grossa,56.642.960/0236-65,406778,"Rua Nicolau Kluppel Neto, 517 – Chapada",(042) 3236-3668,90.710.140-18,,234,,,PR
061 - VARZEP - Várzea Paulista,13.220-445,Várzea Paulista,56.642.960/0064-93,88055,"Rua: Antônio Luiz Sutti, 255 – Jd. Maria de Fátima",(011) 4595-8396,712.030.990.116,,61,,,"SP "
209 - PONTAL - Pontal,14.180-000,Pontal,56.642.960/0208-01,213466,"Rua Ananias Costa Freitas, 414 – Centro",(016) 3953-7078,550.023.904.115,,209,,,"SP "
000 - SALTO - Salto,13.320-000,Salto,56.642.960/0002-90,1513,"Rua: 9 de Julho, 400 - Centro",(011) 4029-4624,600.003.895.113,210,0,"SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), Modelo Geral (https://www.notion.so/2d068adf5b8e80deba95f335fe849c8c?pvs=21)","R$ 45,00","SP "
286 - INDARI - Indaiatuba,13.348-500,Indaiatuba,56.642.960/0286-24,722667,"Avenida Ário Barnabé, 1441 - Jardim Morada do Sol",(019)3935-4005,353.443.460.110,,286,,,"SP "
018 - ARARAQ - Araraquara,14.801-295,Araraquara,56.642.960/0021-53,94001,"Rua: 9 de Julho, 443 - Centro",(016)  3322-1333,181.052.949.110,,18,,,"SP "
"283 - TAQTIN - Taquaritinga ",15.900-015,"Taquaritinga ",56.642.960/0283-81,,"Rua Visconde do Rio Branco, 600 - Centro",(016)3252-6229,684.135.097.110,,283,,,"SP "
116 - BELROX - Belford Roxo,26.130-000,Belford Roxo,56.642.960/0117-30,113511,"Av.: Benjamin Pinto Dias, 1465 - Centro",(021) 3775-8139,77.357.688,,116,,,RJ
301 - ALMEJAR - Americana,13.466-550,Americana,56.642.960/0303-60,,"Avenida de Cilo,1579 - Cidade Jardim I",,165.628.088.114,,301,,,"SP "
181 - VARGPA - Vargem Gde Paulista,06.730-000,Vargem Gde Paulista,56.642.960/0180-76,166330,"Av. Presidente Tancredo Neves,556 - Centro",(011) 4159-4917,720.074.238.118,,181,,,"SP "
040 - LENCOP - Lençóis Paulista,18.680-100,Lençóis Paulista,56.642.960/0043-69,20680,"Rua: Dr. Antônio Tedesco, 280 - Centro",(014) 3263-1452,416.026.666.117,,40,,,"SP "
019 - SCAET - São Caetano Sul,09.510-100,São Caetano Sul,56.642.960/0022-34,89300,"Rua: Manoel Coelho, 382 - Centro",(011) 4221-7750,636.088.367.110,,19,,,"SP "
138 - PFELIZ - Porto Feliz,18.540-000,Porto Feliz,56.642.960/0141-60,87810,"Rua Altino Arantes, 130 - Centro",(015) 3261-4486,554.091.807.115,200,138,PORTO FELIZ (https://www.notion.so/58585c96b40a4d41a258da1d732d6319?pvs=21),"R$ 36,00","SP "
201 - HORTAM - Hortolândia,13.188-172,Hortolândia,56.642.960/0202-16,192048,"R: Pedro Vilas Boas, 870 – Jd. Amanda II",(019) 3819-2758,748.067.937.110,170,201,HORTOLANDIA JD AMANADA (https://www.notion.so/b316a76f58b04b81ab743cf16592ef8a?pvs=21),"R$ 38,20","SP "
297 - 2ª Araraq - Araraquara,14.810-216,Araraquara,56.642.960/0299-49,,"Avenida Pedro Jacob Celli, 528 Jd. Floridiana",,181.548.712.112,220,297,ARARAQUARA BR (https://www.notion.so/03dc79e7dea04bb3b646cfd09ad11ed4?pvs=21),"R$ 32,80","SP "
244 - MGCCES - Mogi das Cruzes,08.810-020,Mogi das Cruzes,56.642.960/0246-37,423787,"Av. Ricieri José Marcatto, 1105 – Vila Suissa",(011) 4761-6766,454.512.731.118,,244,,,"SP "
075 - FROCHA - Franco da Rocha,07.803-010,Franco da Rocha,56.642.960/0078-99,88054,"Av.: dos Expedicionários, 164 - Centro",(011) 4449-4032,312.025.975.119,,75,,,"SP "
026 - SBCAMP - S. Bernardo Campo,09.710-011,S. Bernardo Campo,56.642.960/0029-00,121545,"Rua: Marechal Deodoro, 713 - Centro",(011) 4122-2710,635.174.000.117,,26,,,"SP "
207 - CLACER - Rio Claro,13.505-430,Rio Claro,56.642.960/0209-92,263096,"Rua 6, 199 – Jd. Chervesson",(019) 3524-4721,587.175.266.118,,207,,,"SP "
164 - OUROFI - Ouro Fino,37.570-000,Ouro Fino,56.642.960/0165-37,88037,"Rua Major Sebastião Pires, 197 - Centro",(035) 3441-5613,525.649.701.1393,,164,,,MG
268 - PITANG - Pitangueiras,14.750-000,Pitangueiras,56.642.960/0272-29,641007,"Rua Amazonas, 53 – Centro"," (016) 3952-0937",543.042.697.114,,268,,,"SP "
030 - GUARAT - Guaratinguetá,12.500-210,Guaratinguetá,56.642.960/0034-78,88030,"Rua: Marechal Deodoro, 166 - Centro",(012) 3132-1274,332.043.890.110,,30,,,"SP "
012 - OSASCO - Osasco,06.013-000,Osasco,56.642.960/0014-24,88541,"Rua: Antônio Agú, 749 - Centro",(011) 3682-1640,492.129.133.110,,12,,,"SP "
081 - FMORAT - Francisco Morato,07.902-000,Francisco Morato,56.642.960/0084-37,126237,"Rua: Demerson Gomes Romano, 42 - Centro",(011) 4488-3651,311.026.203.119,,81,,,"SP "
022 - PIRASU - Pirassununga,13.630-010,Pirassununga,56.642.960/0025-87,88524,"Rua: José Bonifácio, 425 - Centro",(019) 3561-2910,536.019.930.116,,22,,,"SP "
051 - LORENA - Lorena,12.600-230,Lorena,56.642.960/0054-11,87748,"Rua: Barão de Bocaina, 95 - Centro",(012) 3153-2911,420.048.768.114,,51,,,"SP "
124 - MTEMOR - Monte Mor,13.190-000,Monte Mor,56.642.960/0125-40,20688,"Av.: Jânio Quadros, 45 - Centro",(019) 3889-2292,465.067.804.119,,124,,,"SP "
293 - ATICAE - Atibaia,12.951-750,Atibaia,56.642.960/0295-15,744562,"Avenida Professor Flavio Pires de Camargo, 819 - Caetetuba",(011) 4411-9040,190.365.218.119,,293,,,"SP "
186 - CAJATI - Cajati,11.950-000,Cajati,56.642.960/0189-04,133631,"Rua Fernando Costa, 415 – Centro",(013) 3851-4660,740.008.773.113,770,186,CAJATI (https://www.notion.so/e6a8650d559947d8882b5d8f343c885c?pvs=21),"R$ 125,40","SP "
102 - PGROSS - Ponta Grossa,84.010-710,Ponta Grossa,56.642.960/0103-34,326641,"Pça. Barão do Rio Branco, 41 - Centro",(042) 3225-6079,90.228.037.59,,102,,,PR
270 - SMIGAR - São Miguel Arcanjo,18.230-000,São Miguel Arcanjo,56.642.960/0270-67,,"Rua Dante Carraro, 666 – Centro"," (015) 3379-9188",650.062.539.110,,270,,,"SP "
092 - SSPARA - S. Sebast. Paraíso,37.950-000,S. Sebast. Paraíso,56.642.960/0096-70,130007,"Praça Com. José Honório, 47 - Centro",(035) 3531-5909,647.649.701.0820,,92,,,MG
199 - PINHAI - Pinhais,83.321-000,Pinhais,56.642.960/0199-86,231552,"Avenida Iraí, 493 – Weissópolis",(041) 3668-5168,90.597.686-94,,199,,,PR
224 - SORLIM - Sorocaba,18.048-110,Sorocaba,56.642.960/0226-93,307771,"Av. Prof. Izoraida Marques Peres, 183 – Parque Campolim",(015) 3233-7650,669.872.076.117,,224,,,"SP "
242 - JUNDCE - Jundiaí,13.201-012,Jundiaí,56.642.960/0245-56,402027,"Rua Barão de Jundiaí, 923 – Centro",(011) 4521-4198,407.577.557.111,,242,,,"SP "
205 - RIOPED - Rio das Pedras,13.390-000,Rio das Pedras,56.642.960/0205-69,282123,"Rua Prudente de Moraes, 17 – Centro",(019) 3493-5097,588.019.203.112,,205,,,"SP "
110 - SGONÇA - São Gonçalo,24.440-440,São Gonçalo,56.642.960/0111-44,133056,"Rua: Dr. Feliciano Sodré,61 - Centro",(021) 3706-2030,77.224.254,,110,,,RJ
046 - BEBED - Bebedouro,14.700-020,Bebedouro,56.642.960/0049-54,166509,"Rua: Cel. João Manoel, 523 - Centro",(017) 3342-3644,210.039.611.112,,46,,,"SP "
238 - BERTIO - Bertioga,11.250-360,Bertioga,56.642.960/0240-41,436692,"Av. Anchieta, 2138 – Centro",(013) 3317-1677,738.046.592.115,570,238,BERTIOGA (https://www.notion.so/e77a9eaf739444d58a00c5b77647c60f?pvs=21),"R$ 97,80","SP "
272 - JARIVA - Jaguariaíva,84200-000,Jaguariaíva,56.642.960/0273-00,641006,"Av. Antonio Cunha, 170 – Centro"," (043) 3535-1084",90.815.681-19,,272,,,PR
142 - ARAUCA - Araucária,83.702-470,Araucária,56.642.960/0143-21,272934,"Rua Pres. Carlos Cavalcanti, 165 - Centro",(041) 552-3584,90.321.560-77,,142,,,PR
003 - SROQUE - São Roque,18.130-470,São Roque,56.642.960/0005-33,20695,"Av.: Tiradentes, 399 - Centro",(011) 4712-2459,653.011.011.110,320,3,SÃO ROQUE (https://www.notion.so/28d9eebc527e45ec9411d46f3ef25f16?pvs=21),"R$ 60,20","SP "
157 - MATAO - Matão,15.990-020,Matão,56.642.960/0158-08,103286,"Rua João Pessoa, 1085 - Centro",(016) 3394-3741,441.108.894.110,270,157,MATÃO  (https://www.notion.so/92994de0917b4f37921bab07b24480f1?pvs=21),"R$ 72,60","SP "
249 - ANGATU - Angatuba,18.240-000,Angatuba,56.642.960/0251-02,546233,"Rua Tenente José Marcos de Albuquerque, 190 – Centro",(015) 3355-0227,171.036.230.114,,249,,,"SP "
162 - PEDREI - Pedreira,13.920-000,Pedreira,56.642.960/0164-56,87293,"Rua XV de Novembro, 756 - Centro",(019) 3893-1440,519.101.855.111,,162,,,"SP "
239 - PROMIS - Promissão,16.370-000,Promissão,56.642.960/0241-22,471447,"Rua Olivio Pereira Ramos, 125 – Centro",(014) 3541-2656,564.043.771.118,620,239,PROMISSÃO (https://www.notion.so/51b942df7cc0404c923a3bece8b39c70?pvs=21),"R$ 131,20","SP "
094 - SJBVIS - São J.  Boa Vista,13.870-080,São J.  Boa Vista,56.642.960/0095-90,125937,"Rua: Ademar de Barros, 133 - Centro",(019) 3631-8080,639.228.044.113,,94,,,"SP "
,13.600-030,Araras,56.642.960/0015-05,109768,"Rua: Cesário Coimbra, 15 – Centro",(019) 3541-4837,182.026.659.111,84,13,ARARAS (https://www.notion.so/b9486ef3705f4b14859dc3ee952de0ec?pvs=21),"R$ 8,80","SP "
159 - JARDIN - Jardinópolis,14.680-000,Jardinópolis,56.642.960/0159-99,94013,"Praça N. Srª Aparecida, 80 - Centro",(016) 3663-6800,399.082.070.114,370,159,JARDINOPOLIS (https://www.notion.so/24e826fa0b054d5cbbf3cad26ef70e8d?pvs=21),"R$ 80,62","SP "
025 - TAUBAT - Taubaté,12.080-250,Taubaté,56.642.960/0027-49,87754,"Rua: Marquês do Herval, 601 - Centro",(012) 3632-0308,688.073.087.110,,25,,,"SP "
111 - SISABEL - Santa Isabel,07.500-000,Santa Isabel,56.642.960/0113-06,88597,"Av.: República, 383 - Centro",(011) 4656-7215,616.077.981.112,,111,,,"SP "
079 - SANPAR - Santana Parnaíba,06.502-150,Santana Parnaíba,56.642.960/0080-03,20691,"Rua: 13 de Maio, 13 - Centro",(011) 4154-1684,623.020.731.112,,79,,,"SP "
213 - IPERO - Iperó,18.560-000,Iperó,56.642.960/0215-30,342969,"Av.: Dr. José Marques Penteado, 218 – Centro",(015) 3266-2407,358.015.012.116,,213,,,"SP "
115 - BAURU - Bauru,17.010-011,Bauru,56.642.960/0116-59,133603,"Rua: Primeiro de Agosto, 556 - Centro",(014) 3212-3399,209.325.846.117,,115,,,"SP "
263 - HORTRO - Hortolândia,13.185-230,Hortolândia,56.642.960/0266-80,610608,"Rua Antônio Fernandes Leite, 185 – Jardim Santa Izabel"," (019) 3845-7748",748.277.133.116,,263,,,"SP "
174 - SJBARR - São Joaquim da Barra,14.600-000,São Joaquim da Barra,56.642.960/0176-90,123627,"Rua São Paulo, 1.270 - Centro",(016) 3811-2100,642.101.868.111,,174,,,"SP "
229 - MIRASS - Mirassol,15.130-065,Mirassol,56.642.960/0231-50,463970,"Praça Dr. Anísio José Moreira, 20-69 – Centro",(017) 3242-8779,451.067.579.114,,229,,,"SP "
143 - CABJAC - Cabreúva,13.318-000,Cabreúva,56.642.960/0145-93,133611,"Av. São Paulo, 626 - Jacaré",(011) 4529-6133,233.076.300.119,,143,,,"SP "
156 - ITUPVA - Itupeva,13.295-000,Itupeva,56.642.960/0157-27,118357,"Rua Jundiaí, 70 - Centro",(011) 4496-5213,388.076.650.115,260,156,ITUPEVA (https://www.notion.so/eceffdf1915342cca8fced47559d2555?pvs=21),"R$ 62,60","SP "
085 - RIBPRE - Ribeirão Preto,14.015-040,Ribeirão Preto,56.642.960/0088-60,135661,"Rua: São Sebastião, 175 - Centro",(016) 3610-9700,582.480.229.115,330,85,RIBEIRÃO PRETO CT (https://www.notion.so/cb553dc6bd9d4c7d97a569175d28ace3?pvs=21),"R$ 80,62","SP "
010 - STABAR - Sta. Bárb. D'Oeste,13.450-026,Sta. Bárb. D'Oeste,56.642.960/0012-62,94777,"Rua: General Osório, 518 - Centro",(019) 3455-1777,606.023.860.110,,10,,,"SP "
047 - BARRET - Barretos,14.780-660,Barretos,56.642.960/0050-98,89225,"Rua: 20, 762 – Primavera",(017) 3322-1033,204.072.675.113,500,47,BARRETOS (https://www.notion.so/a06186e306324788a29e496415de1e57?pvs=21),"R$ 131,60","SP "
175 - NHORIZ - Novo Horizonte,14.960-000,Novo Horizonte,56.642.960/0175-09,122743,"Rua Trajano Machado, 653 - Centro",(017) 3542-3599,483.107.274.118,468,175,NOVO HORIZONTE (https://www.notion.so/3a5f095cfd2f4f07bb5a2587f42b985e?pvs=21),"R$ 89,60","SP "
170 - INDSOL - Indaiatuba,13.345-360,Indaiatuba,56.642.960/0172-66,88534,"Av. Francisco de Paula Leite, 1.144 - Santa Cruz",(019) 3875-8796,353.253.884.116,,170,,,"SP "
134 - CAIEIR - Caieiras,07.700-170,Caieiras,56.642.960/0135-11,89223,"Av. 14 de Dezembro, 21 – Região Central",(011) 4442-1515,239.077.780.118,,134,,,"SP "
028 - GUARUL - Guarulhos,07.011-010,Guarulhos,56.642.960/0031-25,123562,"Rua: Capitão Gabriel, 148 - Centro",C,336.241.029.117,380,28,GUARULHOS (https://www.notion.so/113803739c464286a83a7f0c70fa242a?pvs=21),"R$ 87,40","SP "
088 - BPIRAÍ - Barra do Piraí,27.123-040,Barra do Piraí,56.642.960/0091-66,133602,"Trav.: Carmine Martuscello, 30 - Centro",(024) 2443-2627,76.020.604,,88,,,RJ
289 - LIMJOA - Limeira,13.480-743,Limeira,56.642.960/0291-91,783992,"Aenida Piracicaba, 731 - Vila Sao Joao",(019) 3443-3139,417.662.185.117,80,289,LIMEIRA BR (https://www.notion.so/cf1a726382514c0cb092f0b7e80ff127?pvs=21),"R$ 16,40","SP "
